id,timestamp,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,state,product_type,sub_area,area_m,raion_popul,green_zone_part,indust_part,children_preschool,preschool_quota,preschool_education_centers_raion,children_school,school_quota,school_education_centers_raion,school_education_centers_top_20_raion,hospital_beds_raion,healthcare_centers_raion,university_top_20_raion,sport_objects_raion,additional_education_raion,culture_objects_top_25,culture_objects_top_25_raion,shopping_centers_raion,office_raion,thermal_power_plant_raion,incineration_raion,oil_chemistry_raion,radiation_raion,railroad_terminal_raion,big_market_raion,nuclear_reactor_raion,detention_facility_raion,full_all,male_f,female_f,young_all,young_male,young_female,work_all,work_male,work_female,ekder_all,ekder_male,ekder_female,0_6_all,0_6_male,0_6_female,7_14_all,7_14_male,7_14_female,0_17_all,0_17_male,0_17_female,16_29_all,16_29_male,16_29_female,0_13_all,0_13_male,0_13_female,raion_build_count_with_material_info,build_count_block,build_count_wood,build_count_frame,build_count_brick,build_count_monolith,build_count_panel,build_count_foam,build_count_slag,build_count_mix,raion_build_count_with_builddate_info,build_count_before_1920,build_count_1921-1945,build_count_1946-1970,build_count_1971-1995,build_count_after_1995,ID_metro,metro_min_avto,metro_km_avto,metro_min_walk,metro_km_walk,kindergarten_km,school_km,park_km,green_zone_km,industrial_km,water_treatment_km,cemetery_km,incineration_km,railroad_station_walk_km,railroad_station_walk_min,ID_railroad_station_walk,railroad_station_avto_km,railroad_station_avto_min,ID_railroad_station_avto,public_transport_station_km,public_transport_station_min_walk,water_km,water_1line,mkad_km,ttk_km,sadovoe_km,bulvar_ring_km,kremlin_km,big_road1_km,ID_big_road1,big_road1_1line,big_road2_km,ID_big_road2,railroad_km,railroad_1line,zd_vokzaly_avto_km,ID_railroad_terminal,bus_terminal_avto_km,ID_bus_terminal,oil_chemistry_km,nuclear_reactor_km,radiation_km,power_transmission_line_km,thermal_power_plant_km,ts_km,big_market_km,market_shop_km,fitness_km,swim_pool_km,ice_rink_km,stadium_km,basketball_km,hospice_morgue_km,detention_facility_km,public_healthcare_km,university_km,workplaces_km,shopping_centers_km,office_km,additional_education_km,preschool_km,big_church_km,church_synagogue_km,mosque_km,theater_km,museum_km,exhibition_km,catering_km,ecology,green_part_500,prom_part_500,office_count_500,office_sqm_500,trc_count_500,trc_sqm_500,cafe_count_500,cafe_sum_500_min_price_avg,cafe_sum_500_max_price_avg,cafe_avg_price_500,cafe_count_500_na_price,cafe_count_500_price_500,cafe_count_500_price_1000,cafe_count_500_price_1500,cafe_count_500_price_2500,cafe_count_500_price_4000,cafe_count_500_price_high,big_church_count_500,church_count_500,mosque_count_500,leisure_count_500,sport_count_500,market_count_500,green_part_1000,prom_part_1000,office_count_1000,office_sqm_1000,trc_count_1000,trc_sqm_1000,cafe_count_1000,cafe_sum_1000_min_price_avg,cafe_sum_1000_max_price_avg,cafe_avg_price_1000,cafe_count_1000_na_price,cafe_count_1000_price_500,cafe_count_1000_price_1000,cafe_count_1000_price_1500,cafe_count_1000_price_2500,cafe_count_1000_price_4000,cafe_count_1000_price_high,big_church_count_1000,church_count_1000,mosque_count_1000,leisure_count_1000,sport_count_1000,market_count_1000,green_part_1500,prom_part_1500,office_count_1500,office_sqm_1500,trc_count_1500,trc_sqm_1500,cafe_count_1500,cafe_sum_1500_min_price_avg,cafe_sum_1500_max_price_avg,cafe_avg_price_1500,cafe_count_1500_na_price,cafe_count_1500_price_500,cafe_count_1500_price_1000,cafe_count_1500_price_1500,cafe_count_1500_price_2500,cafe_count_1500_price_4000,cafe_count_1500_price_high,big_church_count_1500,church_count_1500,mosque_count_1500,leisure_count_1500,sport_count_1500,market_count_1500,green_part_2000,prom_part_2000,office_count_2000,office_sqm_2000,trc_count_2000,trc_sqm_2000,cafe_count_2000,cafe_sum_2000_min_price_avg,cafe_sum_2000_max_price_avg,cafe_avg_price_2000,cafe_count_2000_na_price,cafe_count_2000_price_500,cafe_count_2000_price_1000,cafe_count_2000_price_1500,cafe_count_2000_price_2500,cafe_count_2000_price_4000,cafe_count_2000_price_high,big_church_count_2000,church_count_2000,mosque_count_2000,leisure_count_2000,sport_count_2000,market_count_2000,green_part_3000,prom_part_3000,office_count_3000,office_sqm_3000,trc_count_3000,trc_sqm_3000,cafe_count_3000,cafe_sum_3000_min_price_avg,cafe_sum_3000_max_price_avg,cafe_avg_price_3000,cafe_count_3000_na_price,cafe_count_3000_price_500,cafe_count_3000_price_1000,cafe_count_3000_price_1500,cafe_count_3000_price_2500,cafe_count_3000_price_4000,cafe_count_3000_price_high,big_church_count_3000,church_count_3000,mosque_count_3000,leisure_count_3000,sport_count_3000,market_count_3000,green_part_5000,prom_part_5000,office_count_5000,office_sqm_5000,trc_count_5000,trc_sqm_5000,cafe_count_5000,cafe_sum_5000_min_price_avg,cafe_sum_5000_max_price_avg,cafe_avg_price_5000,cafe_count_5000_na_price,cafe_count_5000_price_500,cafe_count_5000_price_1000,cafe_count_5000_price_1500,cafe_count_5000_price_2500,cafe_count_5000_price_4000,cafe_count_5000_price_high,big_church_count_5000,church_count_5000,mosque_count_5000,leisure_count_5000,sport_count_5000,market_count_5000,price_doc
4742,2012-11-14,80,80.0,13.0,,,,,,,OwnerOccupier,Strogino,16751119.46,155427,0.338150977,0.041124634,9254,4606.0,8,9515,11032.0,9,0,,1,0,6,2,no,0,10,5,no,no,no,no,no,no,no,yes,156377,71846,84531,20003,10461,9542,97920,53042,44878,37504,12102,25402,9254,4856,4398,9515,4991,4524,22087,11541,10546,32847,16042,16805,17622,9249,8373,453.0,14.0,161.0,25.0,73.0,9.0,160.0,0.0,11.0,0.0,453.0,47.0,42.0,99.0,175.0,90.0,27,1.584286312,1.237585012,14.85102014,1.237585012,0.964178967,0.470663379,1.978309814,0.054296325,0.798091891,21.17816,0.999771,13.53565,6.590506522,79.08607826,26.0,4.993954078,3.95882345,4,0.098281495,1.179377939,0.678491851,no,0.359390584,10.00992424,13.07023173,13.90984662,15.06674617,0.359390595,1,no,0.915872093,44,2.885320913,no,18.53459382,121,6.84944078,1,23.82010399,5.36842939,4.038105871,3.8054452,7.399094098,1.971699621,25.95193392,6.585951977,0.82547759,6.721320846,6.974831208,2.593721455,4.004871141,4.275333007,1.023601781,0.788954329,8.007237432,0.801572948,0.452438743,0.630280248,1.886722364,0.470663379,1.39102413,0.401241734,10.69514394,16.30086062,10.8063144,6.022581967,0.599260046,good,6.6,0.0,0,0,1,3000,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,6.41,3.89,3,175395,2,15000,4,1250.0,2125.0,1687.5,0,0,1,0,3,0,0,0,3,0,0,3,0,12.41,8.88,5,207193,3,15000,9,1055.56,1777.78,1416.67,0,0,3,2,4,0,0,1,5,0,0,5,0,19.71,5.48,5,207193,10,650124,21,1026.32,1710.53,1368.42,2,0,7,6,5,1,0,1,5,0,0,7,0,26.33,2.62,5,207193,10,650124,29,1185.19,1925.93,1555.56,2,0,8,10,6,2,1,1,5,0,0,8,0,23.41,6.12,19,696588,25,1061263,117,964.08,1592.23,1278.16,14,16,33,28,18,6,2,4,16,0,0,47,3,12319849
26796,2014-12-18,44,27.0,7.0,9.0,1.0,1971.0,2.0,6.0,2.0,Investment,Beskudnikovskoe,3292112.223,73148,0.063747248,0.092290642,4449,2757.0,5,4346,7327.0,5,0,165.0,1,0,3,2,no,0,2,2,no,no,no,no,no,no,no,no,41504,18905,22599,9308,4847,4461,44449,22170,22279,19391,5955,13436,4449,2281,2168,4346,2283,2063,10271,5360,4911,9620,4575,5045,8322,4322,4000,222.0,97.0,0.0,0.0,4.0,13.0,108.0,0.0,0.0,0.0,222.0,0.0,0.0,144.0,25.0,53.0,90,1.631345513,0.83436528,5.450140776,0.454178398,0.324766159,0.237633253,1.541244902,0.193513675,0.135092993,22.20822,1.986616,0.889301,1.419035915,17.02843097,64.0,1.799222797,2.837417415,64,0.139134614,1.669615362,0.279648696,no,5.779254027,7.164142346,9.593577556,10.20470259,11.68456693,0.160160057,5,no,5.182194416,30,0.523778778,no,8.402121256,121,11.24748721,5,16.73284442,2.071722328,1.00692951,1.050470239,5.273432905,2.000253001,16.34327007,3.212038483,0.289626257,2.157620969,4.621778313,4.506454356,0.914958095,3.242476797,7.116714365,2.867377699,3.786041431,2.383262208,0.226599296,0.264060345,0.435444995,0.237633253,1.43458851,0.245824522,1.75037998,7.667867247,4.663502553,3.613277299,0.146264745,poor,7.31,45.68,3,68633,1,19000,3,750.0,1250.0,1000.0,1,0,1,1,0,0,0,0,1,0,0,3,0,9.79,50.51,4,81690,1,19000,7,833.33,1333.33,1083.33,1,0,2,4,0,0,0,0,1,0,0,4,0,8.15,40.69,7,98853,3,45790,21,717.65,1176.47,947.06,4,4,5,7,1,0,0,1,5,0,0,8,0,6.85,35.15,16,273378,6,120430,36,641.94,1080.65,861.29,5,8,12,10,1,0,0,2,9,1,0,10,0,11.05,26.16,22,376420,17,436735,80,697.22,1180.56,938.89,8,19,29,18,3,3,0,4,13,1,0,25,1,17.66,18.49,48,1095264,42,1322332,195,701.1,1181.32,941.21,13,52,65,46,14,5,0,13,29,1,2,75,11,6800000
6986,2013-04-03,38,20.0,2.0,,,,,,,Investment,Birjulevo Vostochnoe,14795571.25,145088,0.308056827,0.050900058,9223,4519.0,6,10621,10053.0,6,0,30.0,2,0,8,3,no,0,3,1,no,no,no,yes,no,no,no,no,1716730,774585,942145,21130,10962,10168,93008,48690,44318,30950,9206,21744,9223,4754,4469,10621,5550,5071,23495,12204,11291,367659,172958,194701,18567,9643,8924,217.0,52.0,0.0,0.0,43.0,3.0,119.0,0.0,0.0,0.0,217.0,0.0,2.0,32.0,170.0,13.0,110,9.08640397,9.441036608,84.06459697,7.005383081,0.098959048,0.301669264,1.943353013,0.386163425,2.611881006,7.789723,2.515002,3.808766,4.224853703,50.69824444,58.0,5.843412559,8.018547606,58,0.236106456,2.833277477,0.468240779,no,0.625053228,13.47609049,16.74418489,18.45713458,18.93622295,0.625053211,1,no,0.699686443,26,0.386163425,no,20.84994165,32,9.627731388,9,10.44147908,6.943293748,0.902311522,2.99724881,3.714173349,1.971742294,7.981801037,8.377038653,0.425591984,2.722064109,6.113106019,5.46745914,3.236627586,3.191724494,12.86327292,2.625730668,11.48705104,2.136860412,1.194928509,1.833530633,0.384509118,0.301669264,2.544264836,2.536384057,8.501507886,22.13596315,3.812702819,0.277636441,0.469921451,poor,6.95,0.0,0,0,0,0,1,1000.0,1500.0,1250.0,0,0,0,1,0,0,0,0,0,0,1,1,0,27.52,0.0,0,0,0,0,1,1000.0,1500.0,1250.0,0,0,0,1,0,0,0,0,0,0,1,2,0,29.18,0.0,0,0,2,188700,5,600.0,1100.0,850.0,0,0,4,1,0,0,0,0,0,0,1,3,0,26.21,0.0,1,3342,2,188700,9,611.11,1111.11,861.11,0,0,7,2,0,0,0,0,0,0,1,6,0,16.06,1.07,1,3342,5,611700,22,650.0,1150.0,900.0,2,5,11,2,1,1,0,1,1,0,1,10,0,12.64,8.9,3,57842,16,1371621,62,721.43,1232.14,976.79,6,13,24,12,5,2,0,3,8,0,2,23,6,4650000
11310,2013-10-17,38,19.0,16.0,16.0,5.0,1976.0,1.0,9.0,2.0,Investment,Bogorodskoe,8659075.461,104410,0.416866452,0.069660344,7103,3107.0,7,6119,7277.0,9,0,,1,0,8,4,no,0,2,4,no,no,no,yes,no,no,no,no,1452550,655329,797221,13897,6937,6960,59366,30856,28510,31147,11500,19647,7103,3598,3505,6119,2984,3135,15630,7783,7847,311210,150254,160956,12479,6183,6296,413.0,104.0,4.0,0.0,215.0,7.0,63.0,0.0,20.0,0.0,413.0,4.0,14.0,316.0,61.0,18.0,25,2.267325239,1.691057522,19.21875027,1.601562522,0.255081846,0.182548305,3.002576957,0.062298737,0.654724701,16.70521,1.534555,9.642057,1.937280274,23.24736329,38.0,1.937280274,4.098813162,38,0.152208882,1.826506585,0.922267807,no,5.755564827,4.706090724,6.853706107,7.584390722,9.326147778,3.943366537,20,no,4.155342341,15,0.654724701,no,6.819686087,97,4.270678907,10,7.844496672,11.80004263,1.018244298,0.30485425,3.550576068,4.433256626,15.24895717,5.316879411,0.337028471,2.737889645,5.524402925,1.360059522,0.440641505,0.46870631,5.165725274,1.152392824,2.538784483,0.644763203,1.414782625,1.296100872,0.784585746,0.182548305,1.170419259,1.168204,6.980412551,4.543361635,5.495205441,1.435983664,0.390956984,poor,15.25,0.0,0,0,0,0,1,500.0,1000.0,750.0,0,0,1,0,0,0,0,0,0,0,0,3,0,17.39,8.96,0,0,0,0,2,500.0,1000.0,750.0,1,0,1,0,0,0,0,0,0,0,0,6,0,31.81,8.33,3,157000,1,7000,3,400.0,750.0,575.0,1,1,1,0,0,0,0,1,1,0,1,8,0,42.27,10.91,4,177000,2,27000,7,716.67,1166.67,941.67,1,1,2,3,0,0,0,1,2,0,1,8,0,51.78,10.31,13,255531,5,45600,20,544.44,944.44,744.44,2,6,8,4,0,0,0,4,6,0,1,22,0,40.95,12.96,81,1556033,31,1137771,224,733.01,1239.23,986.12,15,59,71,45,30,4,0,17,30,0,8,97,3,1200000
20977,2014-07-19,34,19.0,1.0,12.0,5.0,1969.0,1.0,9.0,2.0,Investment,Babushkinskoe,4934147.224,86206,0.11640032,0.122190486,4300,1578.0,3,4724,5461.0,3,0,1308.0,1,0,6,2,no,0,3,2,no,no,no,no,no,no,no,yes,55125,25551,29574,9734,5192,4542,52560,28071,24489,23912,7214,16698,4300,2213,2087,4724,2581,2143,11209,6096,5113,10741,5375,5366,8429,4475,3954,271.0,49.0,2.0,0.0,147.0,5.0,67.0,0.0,1.0,0.0,269.0,0.0,9.0,169.0,82.0,9.0,63,1.744392971,1.047696535,12.57235841,1.047696535,0.080566142,0.580669558,1.08542245,0.177425612,0.614734753,21.74275,1.003058,5.763139,1.545562543,18.54675051,25.0,1.238888638,3.118474181,25,0.20649618,2.477954165,1.165501382,no,3.421852502,7.959284014,10.45318242,11.10616204,12.61732742,1.228718213,15,no,1.676096918,20,0.740965345,no,8.994919035,101,12.48144159,4,13.55958704,8.734812934,1.310664486,2.01005403,5.663938112,0.721144736,5.336028744,1.32564185,0.321997768,2.757455014,3.031588761,2.331883454,0.954936409,0.234199392,2.620846269,1.196122611,1.57897965,1.099428732,0.705618314,1.059414945,1.105019625,0.580669558,0.542960268,0.531536626,4.643337212,5.07151959,5.597468241,3.245722476,0.385663095,good,8.33,0.0,0,0,0,0,1,300.0,500.0,400.0,0,1,0,0,0,0,0,0,0,0,0,2,0,8.23,3.95,0,0,2,12700,11,590.91,1000.0,795.45,0,5,3,2,1,0,0,1,1,0,0,8,1,9.3,9.81,4,37207,5,80915,20,633.33,1055.56,844.44,2,8,4,4,2,0,0,2,2,0,0,15,1,12.03,10.4,8,133857,6,88123,38,680.65,1129.03,904.84,7,12,7,8,4,0,0,3,4,0,0,20,1,18.75,11.49,11,204877,14,851936,66,640.74,1083.33,862.04,12,17,19,14,4,0,0,10,9,0,0,40,1,29.7,8.64,24,419671,32,3486276,152,659.56,1117.65,888.6,16,49,44,27,14,2,0,13,16,2,3,69,4,5650000
27158,2014-12-26,54,34.0,1.0,10.0,2.0,1960.0,2.0,9.0,3.0,Investment,Lomonosovskoe,3326418.741,83844,0.051880656,0.0,4688,3091.0,5,5027,8359.0,7,1,46.0,1,0,6,4,no,0,1,4,no,no,no,no,no,no,no,no,64317,29113,35204,10333,4897,5436,49242,24015,25227,24269,7744,16525,4688,2213,2475,5027,2417,2610,11526,5458,6068,13171,6380,6791,9123,4346,4777,206.0,39.0,0.0,0.0,109.0,12.0,46.0,0.0,0.0,0.0,210.0,0.0,0.0,153.0,33.0,24.0,68,1.986540676,0.92708903,11.12506836,0.92708903,0.055437766,0.678438012,0.919956209,0.377201724,2.045085091,10.29401,4.529086,11.23022,6.34495592,76.13947104,33.0,6.569788427,9.04227358,33,0.170838988,2.050067857,0.267546513,no,5.440296345,5.378799691,7.9318762,9.065581009,9.836519631,0.6894037,16,no,5.236197183,22,3.629467629,no,11.10360516,50,10.10198154,8,17.37978521,4.694828555,0.921467867,0.641317244,4.769660488,4.437594064,7.159279747,3.579097389,0.499307853,2.095425917,7.273994847,3.738843983,1.605897723,2.00864066,13.57958714,1.740663818,3.00885875,2.886462914,0.644833789,0.351251959,0.316590939,0.678438012,1.908549523,1.03068595,1.784634972,3.161442225,3.098507591,3.792258277,0.277503428,satisfactory,2.15,0.0,1,506,0,0,6,716.67,1166.67,941.67,0,1,2,3,0,0,0,0,0,0,0,1,0,15.09,0.0,3,33167,1,18000,20,690.0,1150.0,920.0,0,6,6,6,2,0,0,0,0,0,0,4,0,15.9,0.0,6,108341,3,25600,36,805.71,1314.29,1060.0,1,9,10,12,3,0,1,0,1,0,0,7,0,14.05,0.0,7,113841,9,206895,81,718.99,1196.2,957.59,2,21,27,24,6,0,1,1,3,1,1,22,0,15.12,3.06,24,476216,23,627295,196,751.32,1256.61,1003.97,7,45,66,54,20,3,1,1,5,1,2,46,2,18.21,5.71,60,1390701,46,1102211,375,769.47,1281.51,1025.49,18,84,116,107,42,7,1,8,35,1,6,91,6,10850000
3925,2012-09-28,41,41.0,15.0,,,,,,,OwnerOccupier,Mar'ina Roshha,4684027.803,65972,0.015525089,0.212515361,3518,1070.0,1,3293,3068.0,1,0,628.0,3,0,7,4,no,0,7,16,no,no,no,no,yes,no,no,no,26943,12163,14780,7150,3700,3450,43472,22791,20681,15350,4589,10761,3518,1783,1735,3293,1739,1554,8031,4173,3858,5000,2407,2593,6382,3296,3086,227.0,70.0,1.0,0.0,92.0,4.0,59.0,0.0,1.0,0.0,227.0,8.0,22.0,120.0,59.0,18.0,176,1.116022105,0.797545703,9.500142269,0.791678522,0.645847063,0.786099664,0.760972237,0.709171492,0.259963811,14.34285,0.541487,8.171151,0.136715439,1.640585268,101.0,0.136715439,0.289984274,101,0.157376065,1.888512781,1.244253388,no,11.16237214,0.254656466,2.326625926,3.040105332,4.469758375,0.06755615,20,yes,0.254656442,4,0.0046963,yes,0.136715439,101,3.718068725,4,9.145810949,8.836529396,3.296239578,1.999409805,7.531083051,1.13235602,10.91731108,2.40906126,0.412424066,1.790532181,3.693959634,5.30750572,0.760972237,0.791025833,4.594718992,1.868507878,2.010898073,1.876792393,0.992166333,0.412424066,0.653444412,0.786099664,0.467418797,0.51270112,1.721120846,2.041450989,2.057013923,4.480075388,0.179857481,poor,0.0,16.33,1,10000,0,0,7,942.86,1571.43,1257.14,0,2,2,1,1,1,0,1,0,0,0,1,0,3.8,20.8,8,113111,1,75000,16,937.5,1562.5,1250.0,0,5,3,2,5,1,0,3,6,0,0,4,0,5.16,20.78,20,213823,4,318400,61,866.67,1425.0,1145.83,1,20,15,12,9,2,2,3,9,0,0,14,1,9.78,20.63,41,621321,7,359487,126,866.67,1439.02,1152.85,3,32,36,27,21,5,2,5,18,1,3,24,1,14.91,20.07,163,2502921,28,1111136,433,774.7,1298.05,1036.37,22,128,126,82,57,15,3,15,47,1,11,53,6,15.86,11.01,497,7072640,75,2586876,1701,851.56,1409.8,1130.68,99,444,437,382,241,82,16,81,159,1,66,174,12,3649323
11102,2013-10-09,34,18.0,10.0,22.0,1.0,1987.0,1.0,9.0,2.0,Investment,Silino,9780189.547,37807,0.371990002,0.136244425,2427,1427.0,3,2370,2506.0,3,0,,0,0,0,0,no,0,1,0,no,no,no,no,no,no,no,no,38075,17162,20913,5063,2491,2572,22548,11443,11105,10196,3090,7106,2427,1189,1238,2370,1187,1183,5561,2716,2845,7365,3630,3735,4510,2236,2274,61.0,30.0,7.0,0.0,6.0,1.0,17.0,0.0,0.0,0.0,61.0,0.0,2.0,9.0,46.0,4.0,29,28.94190519,23.5167759,280.5617423,23.38014519,0.934546228,0.364584926,17.12100464,0.104109046,0.517787927,4.529886,2.947676,28.45663,3.759767287,45.11720744,28.0,4.103622994,5.469070497,28,0.117174479,1.406093744,0.317293771,no,19.79760352,33.23651131,35.94551908,36.69336412,37.98481154,2.01074441,14,no,5.891384966,49,1.148588381,no,38.49956205,83,33.3064848,1,44.8400877,23.16073246,22.26839018,18.72798111,23.09593869,20.22745535,40.67631016,3.999679138,1.958125861,3.803732935,3.745357975,31.2501928,17.01609827,1.451992731,30.18056876,4.011920773,3.827944649,1.309744091,1.083814428,0.563709768,3.96007369,0.364584926,3.287676187,1.031492492,29.65137631,3.052002058,1.835029496,22.33171101,0.676147879,no data,21.43,0.0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,24.82,11.11,1,20038,0,0,2,650.0,1000.0,825.0,0,1,0,1,0,0,0,0,0,0,0,0,0,29.85,14.16,1,20038,1,2100,6,450.0,750.0,600.0,0,4,1,1,0,0,0,0,1,0,0,0,0,32.19,14.98,2,45038,3,34100,10,500.0,850.0,675.0,0,5,3,2,0,0,0,0,1,0,1,1,0,26.94,12.1,3,51038,4,35800,14,507.14,857.14,682.14,0,7,4,3,0,0,0,0,1,0,2,7,0,23.97,8.03,3,51038,7,49700,14,507.14,857.14,682.14,0,7,4,3,0,0,0,1,3,0,2,8,2,4900000
22679,2014-09-19,52,30.0,8.0,14.0,1.0,2005.0,2.0,9.0,3.0,Investment,Beskudnikovskoe,3292112.223,73148,0.063747248,0.092290642,4449,2757.0,5,4346,7327.0,5,0,165.0,1,0,3,2,no,0,2,2,no,no,no,no,no,no,no,no,41504,18905,22599,9308,4847,4461,44449,22170,22279,19391,5955,13436,4449,2281,2168,4346,2283,2063,10271,5360,4911,9620,4575,5045,8322,4322,4000,222.0,97.0,0.0,0.0,4.0,13.0,108.0,0.0,0.0,0.0,222.0,0.0,0.0,144.0,25.0,53.0,40,3.022144499,1.479102575,17.7492309,1.479102575,0.139287909,0.253362347,2.184670047,0.565450733,0.688702747,22.26933,3.336327,1.377443,2.197314819,26.36777783,45.0,2.197314819,3.277188485,45,0.099525048,1.194300582,1.702649838,no,4.270716252,8.790026176,11.21695732,11.8245926,13.30705295,0.741116669,5,no,4.082404264,36,0.688702747,no,9.736113307,121,12.58147926,5,18.06279339,2.810822158,2.278388864,2.215455153,3.994840248,2.990142484,15.48992976,2.672322099,0.453379016,2.836908083,5.955770363,5.840446407,2.157762399,2.54962686,8.450706416,2.327661315,2.197091543,0.794782453,0.973928321,1.465774494,0.93100838,0.253362347,1.654637428,1.458809553,2.558176875,9.001859298,6.105079673,5.229421119,0.470290292,poor,0.0,0.0,0,0,0,0,1,1000.0,1500.0,1250.0,0,0,0,1,0,0,0,0,0,0,0,1,0,6.67,7.89,0,0,1,13000,6,666.67,1166.67,916.67,0,0,4,2,0,0,0,0,0,0,0,1,0,5.42,19.47,3,161000,4,87000,21,905.0,1475.0,1190.0,1,2,7,9,0,2,0,0,1,0,0,5,0,6.69,27.58,8,315500,11,354983,38,972.22,1583.33,1277.78,2,5,10,14,3,4,0,1,2,0,0,11,0,7.71,29.37,21,488977,21,620263,83,794.74,1335.53,1065.13,7,13,31,22,6,4,0,4,13,1,0,27,3,15.79,21.72,42,965758,45,1416392,182,682.63,1152.69,917.66,15,45,64,45,9,4,0,13,26,1,0,75,5,9400000
10787,2013-09-27,53,,1.0,5.0,4.0,,2.0,10.0,,OwnerOccupier,Poselenie Filimonkovskoe,35747947.91,2546,0.548991609,0.034656082,175,,0,168,,0,0,,0,0,0,0,no,0,0,0,no,no,no,no,no,no,no,no,2942,1381,1562,365,189,177,1633,863,771,548,156,393,175,91,85,168,87,82,411,214,198,628,337,292,322,166,156,,,,,,,,,,,,,,,,,206,34.85323787,11.42872244,151.8526348,12.65438623,2.313381553,5.222637266,10.40277919,0.0,1.253942538,13.53373,1.950373,19.85755,14.66781864,176.0138237,24.0,13.64688614,38.69192073,19,2.734466761,32.81360113,1.520564583,no,11.43153606,22.36188119,25.03640733,26.19777888,27.00081593,3.088887133,13,no,5.815681617,38,4.517968528,no,35.62404834,50,19.96595665,8,31.86203396,21.74182581,12.61096381,9.00340148,16.00804794,9.892699545,18.14532302,14.32132477,3.897271344,11.5309526,11.72511219,16.49790259,14.42402777,2.013975946,35.00939954,11.06217035,15.49297954,12.65017974,3.242714382,3.242714382,3.118927992,5.222637266,8.053664258,2.141268454,13.44782627,16.05888871,15.07745137,10.17555108,1.421179952,no data,100.0,0.0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,93.45,0.0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,73.13,1.69,0,0,0,0,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,60.03,2.24,0,0,0,0,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,53.08,3.55,0,0,0,0,1,,,,1,0,0,0,0,0,0,0,2,0,0,0,0,47.85,3.54,1,117300,1,117300,4,600.0,1000.0,800.0,1,1,1,1,0,0,0,0,4,0,0,2,0,3069381
